Name of Collection,Total volume of Collection,Change in volume,Floor Price of Collection,Time of Scrape,Name of Collection.1,Total volume of Collection.1,Change in volume.1,Floor Price of Collection.1,Time of Scrape.1,Name of Collection.2,Total volume of Collection (in ETH),Change in volume (in ETH)),Floor Price of Collection.2,Time of Scrape.2,Rank,Name of Collection.3,Total volume of Collection (in ETH).1,Change in volume (in ETH)).1,Floor Price of Collection.3,Time of Scrape.3,Rank.1,Name of Collection.4,Total volume of Collection (in ETH).2,Change in Daily volume (in ETH)),Floor Price of Collection.4,Time of Scrape.4,Rank.2,Name of Collection.5,Total volume of Collection (in ETH).3,Change in Daily volume (in ETH)).1,Floor Price of Collection.5,Time of Scrape.5,Rank,Name of Collection,Total volume of Collection (in ETH),Change in Daily volume (in ETH)),Floor Price of Collection,Time of Scrape
Power 2 The Apes!,0.54 ETH,4%,0.08 ETH,8/5/22 19:50,Loop Cats x Loop Weebs,0.63 ETH,538%,0.01 ETH,8/5/22 20:12,Overwhelmed,0.65,199%,0.1,8/5/22 21:57,21.0,Halls,0.69,-29%,0.0001,08/05/2022 23:36:57,21.0,Power 2 The Apes!,0.59,+9%,0.08,08/06/2022 18:07:39,21.0,"BBs ""R"" Us",0.37,-72%,0.03,08/07/2022 16:15:22,21.0,Goodboy Series #1,0.62,+3000%,0.01,08/08/2022 13:54:42
PROTAGONISTS,0.49 ETH,-40%,< 0.01 ETH,8/5/22 19:50,Power 2 The Apes!,0.54 ETH,4%,0.08 ETH,8/5/22 20:12,Loop Cats x Loop Weebs,0.63,699%,0.01,8/5/22 21:57,22.0,Loop Cats x Loop Weebs,0.62,+598%,0.01,08/05/2022 23:36:57,22.0,The Gamer Room,0.5,+66%,0.41,08/06/2022 18:07:39,22.0,Player Gloves,0.32,+36%,0.1,08/07/2022 16:15:22,22.0,WORM-A-NANA,0.57,--,0.03,08/08/2022 13:54:42
Player Gloves,0.47 ETH,-64%,0.09 ETH,8/5/22 19:50,PROTAGONISTS,0.49 ETH,-40%,< 0.01 ETH,8/5/22 20:12,Player Gloves,0.47,44%,0.1,8/5/22 21:57,23.0,Player Gloves,0.47,+44%,0.1,08/05/2022 23:36:57,23.0,Memory Cards,0.5,+46%,0.06,08/06/2022 18:07:39,23.0,Thugz,0.32,+359%,0.05,08/07/2022 16:15:22,23.0,Halls,0.52,+423%,0.0001,08/08/2022 13:54:42
The Roaring Retro Gallery...,0.47 ETH,77%,0.06 ETH,8/5/22 19:50,Player Gloves,0.47 ETH,-64%,0.09 ETH,8/5/22 20:12,♥️🤖 BitBots 🤖🧠,0.42,326%,0.0001,8/5/22 21:57,24.0,♥️🤖 BitBots 🤖🧠,0.46,+843%,0.0001,08/05/2022 23:36:57,24.0,Halls,0.49,-39%,0.0001,08/06/2022 18:07:39,24.0,Raise a Glass: Space Seri...,0.27,--,0.05,08/07/2022 16:15:22,24.0,♥️🤖 BitBots 🤖🧠,0.48,+752%,0.0001,08/08/2022 13:54:42
Dankclops main collection...,0.46 ETH,--,0.21 ETH,8/5/22 19:50,The Roaring Retro Gallery...,0.47 ETH,77%,0.05 ETH,8/5/22 20:12,PROTAGONISTS,0.41,-49%,0.0001,8/5/22 21:57,25.0,MoonMen in Motion,0.4,-75%,0.4,08/05/2022 23:36:57,25.0,Monkey Business,0.48,-52%,0.04,08/06/2022 18:07:39,25.0,YABOYNANCY STORY,0.27,+758%,0.0001,08/07/2022 16:15:22,25.0,StupidMonkeys Pajamas,0.41,-59%,0.02,08/08/2022 13:54:42
NFTurtles Originals,0.43 ETH,--,0.14 ETH,8/5/22 19:50,MoonMen in Motion,0.40 ETH,-75%,0.40 ETH,8/5/22 20:12,MoonMen in Motion,0.4,-75%,0.4,8/5/22 21:57,26.0,Bombatomics,0.4,-6%,0.01,08/05/2022 23:36:57,26.0,SLIDES,0.45,--,0.04,08/06/2022 18:07:39,26.0,♥️🤖 BitBots 🤖🧠,0.27,-54%,0.0001,08/07/2022 16:15:22,26.0,WalkerZ,0.37,-31%,0.04,08/08/2022 13:54:42
MoonMen in Motion,0.40 ETH,-75%,0.40 ETH,8/5/22 19:50,dTweenies,0.39 ETH,-65%,0.09 ETH,8/5/22 20:12,dTweenies,0.39,-23%,0.09,8/5/22 21:57,27.0,dTweenies,0.39,-23%,0.09,08/05/2022 23:36:57,27.0,Bombatomics,0.44,+192%,0.01,08/06/2022 18:07:39,27.0,Monkey Business,0.26,-55%,0.04,08/07/2022 16:15:22,27.0,Stupid Monkeys Animated,0.34,-50%,0.17,08/08/2022 13:54:42
dTweenies,0.39 ETH,-65%,0.09 ETH,8/5/22 19:50,Tiny Pirates,0.38 ETH,-37%,< 0.01 ETH,8/5/22 20:12,Bombatomics,0.38,-12%,0.01,8/5/22 21:57,28.0,The Roaring Retro Gallery...,0.38,-4%,0.05,08/05/2022 23:36:57,28.0,Bonsai,0.43,+61%,0.01,08/06/2022 18:07:39,28.0,Silver Dreams,0.25,+66%,0.07,08/07/2022 16:15:22,28.0,Daft ApETH,0.3,--,0.2,08/08/2022 13:54:42
Tiny Pirates,0.38 ETH,-37%,< 0.01 ETH,8/5/22 19:50,Dapper Doggos,0.33 ETH,--,0.03 ETH,8/5/22 20:12,The Roaring Retro Gallery...,0.38,-4%,0.06,8/5/22 21:57,29.0,Kawaii Froggie HOME+,0.36,--,0.0001,08/05/2022 23:36:57,29.0,A Silent House of Cards,0.4,--,0.0001,08/06/2022 18:07:39,29.0,A Silent House of Cards,0.25,-37%,0.0001,08/07/2022 16:15:22,29.0,Pet Portal,0.3,--,0.2,08/08/2022 13:54:42
YABOYNANCY COLLECTOR PORT...,0.36 ETH,-63%,0.02 ETH,8/5/22 19:50,Curated Sticker Collectio...,0.30 ETH,316%,< 0.01 ETH,8/5/22 20:12,Dapper Doggos,0.33,--,0.03,8/5/22 21:57,30.0,Dapper Doggos,0.33,--,0.03,08/05/2022 23:36:57,30.0,Kawaii Froggie HOME+,0.36,--,0.0001,08/06/2022 18:07:39,30.0,dTweenies,0.23,-61%,0.09,08/07/2022 16:15:22,30.0,NFTurtles Originals,0.3,+50%,0.11,08/08/2022 13:54:42
